dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,7
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,-
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2004,15
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,5
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,1
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,-
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2005,19
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,1
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,5
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
